"Category","File","Width","Height","KB","Url"
"csr-gallery","cat_3_20160311_1759796899.jpg","700","371","64","https://www.qpl.com.ph/wp-content/uploads/2021/05/cat_3_20160311_1759796899.jpg"
"csr-gallery","cataract_and_pterygium_operation_2_20160312_1930347612.jpg","700","371","134","https://www.qpl.com.ph/wp-content/uploads/2021/05/cataract_and_pterygium_operation_2_20160312_1930347612.jpg"
"csr-gallery","cat2b_1_20160314_1437566821.jpg","700","371","283","https://www.qpl.com.ph/wp-content/uploads/2021/05/cat2b_1_20160314_1437566821.jpg"
"csr-gallery","cataract_and_pterygium_operation_5_20160312_1293521429.jpg","700","371","104","https://www.qpl.com.ph/wp-content/uploads/2021/05/cataract_and_pterygium_operation_5_20160312_1293521429.jpg"
"csr-gallery","tree_planting_8_20160313_1699002821.jpg","700","371","181","https://www.qpl.com.ph/wp-content/uploads/2021/05/tree_planting_8_20160313_1699002821.jpg"
"csr-gallery","tree_planting_4_20160313_1964675363.jpg","700","371","132","https://www.qpl.com.ph/wp-content/uploads/2021/05/tree_planting_4_20160313_1964675363.jpg"
"csr-gallery","tree_planting_3_20160313_1810908585.jpg","700","371","167","https://www.qpl.com.ph/wp-content/uploads/2021/05/tree_planting_3_20160313_1810908585.jpg"
"csr-gallery","tree_planting_2_20160313_1176138021.jpg","700","371","156","https://www.qpl.com.ph/wp-content/uploads/2021/05/tree_planting_2_20160313_1176138021.jpg"
"csr-gallery","tree_planting_1_20160313_1655845425.jpg","700","371","156","https://www.qpl.com.ph/wp-content/uploads/2021/05/tree_planting_1_20160313_1655845425.jpg"
"csr-gallery","gift_givi3.jpg","700","371","81","https://www.qpl.com.ph/wp-content/uploads/2021/05/gift_givi3.jpg"
"csr-gallery","gift_-3.jpg","700","371","147","https://www.qpl.com.ph/wp-content/uploads/2021/05/gift_-3.jpg"
"csr-gallery","gift_-6.jpg","700","371","124","https://www.qpl.com.ph/wp-content/uploads/2021/05/gift_-6.jpg"
"csr-gallery","gift_-4.jpg","700","371","114","https://www.qpl.com.ph/wp-content/uploads/2021/05/gift_-4.jpg"
